recordingID,SpeakerID,birthYear,info,eduLevel,occLevel,firstLang,homeLang,sex
fn000092,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000093,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000094,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000095,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000096,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000097,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000098,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000099,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000100,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000101,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000102,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000103,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000104,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000105,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000106,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000107,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000108,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000109,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000110,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000111,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000112,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000113,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000114,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000116,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000117,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000118,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000119,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000120,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000121,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000122,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000123,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000124,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000125,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000126,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000127,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000128,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000129,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000130,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000131,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000132,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000133,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000134,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000135,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000136,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000137,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000138,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000139,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000140,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000186,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000187,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000188,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000189,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000190,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000206,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000207,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000209,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000210,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000255,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000256,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000257,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000258,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000285,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000286,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000287,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000288,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000299,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000004,N00060,1961,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000005,N00061,1946,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000006,N00062,1963,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000007,N00029,1973,meeting (faculty meeting),hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,vrouw
fn000007,N00032,1948,meeting (faculty meeting),hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000007,N00043,1975,meeting (faculty meeting),hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,vrouw
fn000007,N00045,1937,meeting (faculty meeting),hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000008,N00045,1937,meeting (faculty meeting),hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000007,N00046,1947,meeting (faculty meeting),hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000008,N00046,1947,meeting (faculty meeting),hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000007,N00048,1973,meeting (faculty meeting),hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,vrouw
fn000008,N00034,1936,meeting (faculty meeting),hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000008,N00042,1943,meeting (faculty meeting),hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000013,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000014,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000015,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000016,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000017,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000018,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000019,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000020,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000021,N00003,1977,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000022,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000023,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000024,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000025,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000026,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000027,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000028,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000029,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000030,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000031,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000032,N00005,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",Standaard Nederlands,Standaard Nederlands,man
fn000033,N00014,1962,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, werkloos",Standaard Nederlands,Standaard Nederlands,man
fn000034,N00019,1953,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000035,N00024,1963,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000036,N00024,1963,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000038,N00024,1963,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000039,N00024,1963,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000040,N00024,1963,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000037,N00027,1956,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000041,N00028,1957,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,vrouw
fn000042,N00028,1957,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,vrouw
fn000043,N00028,1957,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,vrouw
fn000058,N00028,1957,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,vrouw
fn000059,N00028,1957,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,vrouw
fn000042,N00022,1954,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000043,N00022,1954,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000044,N00006,1953,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000045,N00006,1953,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000044,N00011,1967,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000045,N00011,1967,radio: broadcast local radio,hoog,onbekend,Standaard Nederlands,Standaard Nederlands,man
fn000046,N00002,1961,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000047,N00002,1961,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000048,N00002,1961,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000049,N00015,1971,radio: broadcast local radio,hoog,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000050,N00015,1971,radio: broadcast local radio,hoog,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000051,N00008,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",unknown,unknown,man
fn000052,N00008,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",unknown,unknown,man
fn000053,N00008,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",unknown,unknown,man
fn000054,N00008,1972,radio: broadcast local radio,hoog,"niet-beroepsmatig actief, schoolgaand",unknown,unknown,man
fn000055,N00053,1946,presentation,hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000056,N00056,1967,presentation,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000057,N00055,1941,presentation,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000058,N00049,1959,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000059,N00049,1959,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn008010,N00049,1959,spontaneous telephone dialogue (switchboard),hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn008030,N00049,1959,spontaneous telephone dialogue (switchboard),hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000060,N00058,1942,presentation,hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000061,N00054,1940,presentation,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000062,N00052,1966,presentation,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000063,N00057,1962,presentation,hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000064,N00051,1946,presentation,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000065,N00050,1948,presentation,hoog,beroep dat een hogere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000066,N00063,19nn,presentation,onbekend,onbekend,unknown,unknown,vrouw
fn000068,N00063,19nn,presentation,onbekend,onbekend,unknown,unknown,vrouw
fn000069,N00063,19nn,panel discussion,onbekend,onbekend,unknown,unknown,vrouw
fn000067,N00064,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000067,N00065,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000069,N00065,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000069,N00066,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000069,N00067,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000069,N00068,19nn,panel discussion,onbekend,onbekend,unknown,unknown,vrouw
fn000070,N00075,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000074,N00075,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000076,N00075,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000077,N00075,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000079,N00075,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000071,N00076,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000072,N00077,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000073,N00078,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000074,N00079,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000076,N00079,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000075,N00080,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000076,N00080,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000076,N00083,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000076,N00084,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000076,N00085,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000076,N00086,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000077,N00081,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000079,N00081,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000078,N00082,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000079,N00082,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000079,N00087,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000079,N00088,19nn,panel discussion,onbekend,onbekend,unknown,unknown,man
fn000080,N00089,19nn,presentation,onbekend,onbekend,unknown,unknown,man
fn000081,N00112,1966,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000082,N00113,1953,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000083,N00114,1959,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000084,N00116,1970,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000085,N00117,1969,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000086,N00118,1950,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000087,N00122,1961,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000088,N00120,1952,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000089,N00123,1963,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000090,N00124,1971,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000091,N00125,1967,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000092,N00126,1947,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000093,N00127,1952,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000094,N00128,1948,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000095,N00129,1953,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000096,N00130,1940,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000097,N00131,1945,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000098,N00119,1971,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000099,N00115,1945,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,vrouw
fn000100,N00121,1946,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000101,N00132,1953,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
